text_id,uid,text_date
825,6,6/18/2020
826,60,6/18/2020
827,65,6/18/2020
828,103,6/18/2020
829,13,6/18/2020
830,103,6/18/2020
831,2,6/18/2020
832,3,6/18/2020
833,112,6/18/2020
834,75,6/18/2020
835,27,6/18/2020
836,63,6/18/2020
837,9,6/18/2020
838,97,6/18/2020
839,81,6/18/2020
840,61,6/18/2020
841,78,6/18/2020
842,57,6/18/2020
843,76,6/18/2020
844,66,6/18/2020
845,77,6/18/2020
846,7,6/18/2020
847,87,6/18/2020
848,90,6/18/2020
849,4,6/18/2020
850,101,6/18/2020
851,68,6/18/2020
852,64,6/18/2020
853,100,6/18/2020
854,101,6/18/2020
855,81,6/18/2020
856,81,6/18/2020
857,91,6/18/2020
858,7,6/18/2020
859,57,6/18/2020
860,105,6/18/2020
861,98,6/18/2020
862,106,6/18/2020
863,116,6/18/2020
864,72,6/18/2020
865,109,6/18/2020
866,28,6/18/2020
867,74,6/18/2020
868,98,6/18/2020
869,109,6/18/2020
870,97,6/18/2020
871,83,6/18/2020
872,30,6/18/2020
873,16,6/18/2020
874,13,6/18/2020
875,78,6/18/2020
876,95,6/18/2020
877,103,6/18/2020
878,103,6/18/2020
879,16,6/18/2020
880,107,6/18/2020
881,1,6/18/2020
882,107,6/18/2020
883,61,6/18/2020
884,13,6/18/2020
885,60,6/18/2020
886,104,6/18/2020
887,4,6/18/2020
888,84,6/18/2020
889,106,6/18/2020
890,62,6/18/2020
891,66,6/18/2020
892,11,6/18/2020
893,70,6/18/2020
894,1,6/18/2020
895,110,6/18/2020
896,60,6/18/2020
897,10,6/18/2020
898,46,6/18/2020
899,91,6/18/2020
900,90,6/18/2020
901,27,6/18/2020
902,46,6/18/2020
903,107,6/18/2020
904,42,6/18/2020
905,74,6/18/2020
906,101,6/18/2020
907,105,6/18/2020
908,65,6/18/2020
909,79,6/18/2020
910,93,6/18/2020
911,73,6/18/2020
912,76,6/18/2020
913,11,6/18/2020
914,47,6/18/2020
915,108,6/18/2020
916,88,6/18/2020
917,3,6/18/2020
918,98,6/18/2020
919,84,6/18/2020
920,27,6/18/2020
921,116,6/18/2020
922,76,6/18/2020
923,28,6/18/2020
924,62,6/18/2020
